id;Sex;Rep.;Ex1;Ex2a;Ex2b;Ex2c;Ex2d;Ex2e;Ex2;Ex3a;Ex3b;Ex3c;Ex3d;Ex3;Total;Grade;Failed
492;2;;7;2;1;1.5;0.25;1;5.75;3;1.5;0.5;0.75;5.75;18.5;5.25; 
55;1;;4.5;1;0.25;1.5;0.75;0;3.5;2;0;0.5;0.5;3;11;3.75;ja
76;1;;6.5;2;1;2;1;1;7;3;1.25;1.5;1;6.75;20.25;5.75; 
243;2;;5;2;1;1;0.25;0.5;4.75;1.5;0.75;0;0.75;3;12.75;4.25; 
1;2;;5;0.25;0.5;0;0.5;1;2.25;1.5;1;1.5;0.75;4.75;12;4; 
150;1;;7;0.5;0;1;1;0.5;3;2;1;1.5;0;4.5;14.5;4.5; 
298;2;;6.5;2;1;1.25;0.75;1;6;1.5;1.5;1.5;0.75;5.25;17.75;5.25; 
49;1;;5;2;1;1.5;0.25;1;5.75;3;1.25;1.25;0.25;5.75;16.5;5; 
400;1;;3;0.25;0;0;0.5;0.5;1.25;1.5;0.25;0;0.75;2.5;6.75;3;ja
274;2;;5.5;2;1;1.5;0.75;0;5.25;1;1.5;1.25;0.25;4;14.75;4.5; 
365;1;;5;1.5;0.75;0.5;0.25;0.25;3.25;2.5;0;0;0;2.5;10.75;3.75;ja
97;2;;7;2;1;2;0.75;1;6.75;2.5;1.25;1.25;0.75;5.75;19.5;5.5; 
189;1;;6.5;2;1;2;1;1;7;2.5;1.5;1.5;1;6.5;20;5.75; 
417;1;;6;2;1;2;1;1;7;2.5;1.5;1.5;1;6.5;19.5;5.5; 
225;1;;6;2;1;2;0.75;1;6.75;3;1.25;1.5;0.5;6.25;19;5.5; 
177;1;;6;2;1;1.5;0;0.5;5;2;0.25;0.75;0.25;3.25;14.25;4.5; 
441;1;;3.5;0;0;0;0.25;0;0.25;1.5;0.25;0;0;1.75;5.5;2.75;ja
360;2;;5.5;0;0;0;0;0;0;2.5;0.75;1.25;0.5;5;10.5;3.75;ja
17;2;;4;2;1;0.75;0.5;0;4.25;1;0;0;0;1;9.25;3.5;ja
280;1;;3.5;2;1;1.75;0.5;0.5;5.75;3;1.5;1.5;1;7;16.25;4.75; 
#NV;2;Rep.;5.5;2;1;1.5;1;1;6.5;2.5;0.25;0.5;0.5;3.75;15.75;4.75; 
15;1;;5.5;2;1;2;0.25;0.5;5.75;2.5;1;1.25;0.75;5.5;16.75;5; 
307;2;;5.5;2;1;2;0.75;1;6.75;3;1.25;1.25;0.75;6.25;18.5;5.25; 
440;1;;5.5;0.25;0;1;0.75;1;3;1;1;1.5;0.5;4;12.5;4; 
355;1;;7;2;0;1;0.5;1;4.5;2.5;0;0.5;0;3;14.5;4.5; 
381;2;;6.5;2;1;2;0.25;1;6.25;1.5;1.25;0.5;0.5;3.75;16.5;5; 
496;2;;5.5;2;1;2;0.75;0.75;6.5;1.5;1.25;1.5;0.5;4.75;16.75;5; 
363;2;;4;2;0;0.5;0.75;0.5;3.75;2.5;1.5;0;0.5;4.5;12.25;4; 
137;1;;5.5;2;0;0;0.75;1;3.75;1.5;0;1.5;0.75;3.75;13;4.25; 
72;2;;5;0.25;0.25;1;0.25;0.5;2.25;2.5;1.25;0;0.75;4.5;11.75;4; 
443;1;;5.5;2;1;2;1;1;7;3;1.5;0.25;0.5;5.25;17.75;5.25; 
216;1;;6;2;1;2;0.25;1;6.25;2;1.5;1.5;0.75;5.75;18;5.25; 
449;2;;5.5;0.25;0;0.75;1;0.75;2.75;1.5;0;1.25;1;3.75;12;4; 
279;1;;4.5;0.25;0;0.5;0.5;0;1.25;2.5;1;0.5;0.75;4.75;10.5;3.75;ja
353;2;;6;2;1;0.5;0.5;0.5;4.5;3;1.5;1.5;0.5;6.5;17;5; 
301;1;;6.5;2;1;2;0.25;0.75;6;2;1;0.75;0.75;4.5;17;5; 
179;;;;;;;;;;;;;;;;;
134;1;;6;2;1;0.75;1;1;5.75;1.5;0.5;1.25;0.75;4;15.75;4.75; 
300;1;;6.5;2;1;2;0.75;1;6.75;3;1.25;1.5;1;6.75;20;5.75; 
265;1;;6.5;2;0.75;2;0.5;1;6.25;3;0.75;1.5;1;6.25;19;5.5; 
322;1;;6;2;1;2;0.75;0.5;6.25;2.5;1.25;0.75;0.75;5.25;17.5;5; 
135;1;;4.5;2;1;2;0.5;0.5;6;2.5;1.5;1.25;0.75;6;16.5;5; 
180;2;;5.5;2;1;2;0.75;1;6.75;3;1.25;1.25;1;6.5;18.75;5.5; 
412;1;;5.5;2;1;1.75;1;0.5;6.25;1.5;0.25;1.5;0.75;4;15.75;4.75; 
69;1;;5.5;2;1;0.25;0;0.5;3.75;2;0;1;0;3;12.25;4; 
429;2;;5.5;2;0;0.5;0.5;0.5;3.5;2;0.25;1;0.25;3.5;12.5;4; 
247;1;;5;1.5;0.75;1;0.25;0;3.5;2;1;1.25;0.25;4.5;13;4.25; 
239;2;;5.5;2;0.5;1.5;0.75;1;5.75;2;1.5;1.25;0.5;5.25;16.5;5; 
#NV;1;Rep.;6;2;0;0.5;0.5;0;3;2;1;0.75;0.5;4.25;13.25;4.25; 
#NV;1;Rep.;6;2;1;2;0.25;1;6.25;2;1;1.5;0.5;5;17.25;5; 
194;1;;6;0;0.5;0.5;1;0.25;2.25;1.5;0;0;0.75;2.25;10.5;3.75;ja
459;2;;4.5;2;1;1.25;1;0.5;5.75;1.5;0.25;0.5;0.5;2.75;13;4.25; 
304;2;;4.5;2;1;0.5;0.25;0.5;4.25;2;0;0.5;0.5;3;11.75;4; 
311;2;;4.5;1.5;0.5;0.5;0.75;0;3.25;2.5;0.75;0.75;0.75;4.75;12.5;4; 
116;1;;7;2;1;2;0.75;1;6.75;2.5;1.25;1.5;0.75;6;19.75;5.75; 
222;2;;5.5;2;1;0.5;1;1;5.5;3;0.5;0.75;0.5;4.75;15.75;4.75; 
#NV;1;Rep.;5.5;2;1;1.75;0.25;0.25;5.25;2.5;0;1.25;0.25;4;14.75;4.5; 
261;1;;6.5;2;1;1.5;0.5;0.5;5.5;2.5;1.5;1.25;0.75;6;18;5.25; 
#NV;2;;5;2;0;2;0.75;1;5.75;2;1.25;1.25;0.75;5.25;16;4.75; 
426;1;;5;2;1;2;0.75;1;6.75;2;1.25;1.5;0.75;5.5;17.25;5; 
230;1;;5.5;2;1;1;1;0.5;5.5;2.5;0.5;0;0;3;14;4.5; 
9;2;;4.5;2;1;1.5;0.25;0.25;5;1;1.25;0.5;0.75;3.5;13;4.25; 
42;1;;7;2;1;2;1;1;7;2.5;1.5;1.5;0.75;6.25;20.25;5.75; 
13;1;;5;2;1;0;1;0.5;4.5;1;1.25;1.25;0;3.5;13;4.25; 
#NV;1;Rep.;6;2;1;1.75;0.5;0.5;5.75;3;0;0;0;3;14.75;4.5; 
494;1;;5.5;2;0;1.5;0.75;0.75;5;2.5;0;0.5;0.75;3.75;14.25;4.5; 
414;2;;4.5;1;0;0;0.25;0.5;1.75;2;0;0.75;0.5;3.25;9.5;3.5;ja
51;1;;6;2;1;1.75;1;1;6.75;2;1.25;0.75;0.5;4.5;17.25;5; 
367;2;;7;2;1;2;0.75;1;6.75;2.5;1.5;1.5;0.75;6.25;20;5.75; 
196;1;;6;2;1;2;0.75;1;6.75;3;1.5;1.5;0.75;6.75;19.5;5.5; 
25;2;;6;0.25;0;0;0.5;0.5;1.25;2;0.5;1.25;0;3.75;11;3.75;ja
252;2;;7;2;1;2;0.75;1;6.75;2.5;1.5;1.5;1;6.5;20.25;5.75; 
293;2;;5.5;2;1;2;0.75;0.5;6.25;2.5;1.25;1.5;0.5;5.75;17.5;5; 
439;2;;6.5;2;1;2;0.5;1;6.5;2.5;1.25;1;0.75;5.5;18.5;5.25; 
78;2;;7;0;0;0.5;0.25;0.5;1.25;2;0;0.75;0;2.75;11;3.75;ja
255;1;;4.5;2;1;1;0.25;0.25;4.5;2;1.25;1.5;0;4.75;13.75;4.25; 
432;1;;6;2;1;2;1;1;7;2;1.5;0.5;0.75;4.75;17.75;5.25; 
408;;;;;;;;;;;;;;;;;
#NV;2;Rep.;3.5;1.5;1;0.75;0.25;0;3.5;1;0;0;0;1;8;3.25;ja
425;2;;6;2;1;1.5;1;1;6.5;3;1.5;1;0.75;6.25;18.75;5.5; 
485;2;;4;2;1;1.5;0.75;1;6.25;2;0.5;0.5;0.5;3.5;13.75;4.25; 
210;1;;6.5;2;1;1;0.75;0.75;5.5;1;1.25;1.5;1;4.75;16.75;5; 
264;2;Rep.;5;2;1;1.5;1;0.5;6;2.5;0;1.5;0.25;4.25;15.25;4.75; 
40;1;;7;2;1;2;0.75;1;6.75;3;1.5;1.5;0.75;6.75;20.5;6; 
211;1;;4;2;0;1;0.25;0.5;3.75;2;0.5;0.5;0;3;10.75;3.75;ja
483;1;;5.5;2;1;1.75;1;0.75;6.5;2.5;1.25;1.25;0.75;5.75;17.75;5.25; 
489;1;;6.5;2;1;0.5;0.75;1;5.25;2.5;1.25;0.75;0.75;5.25;17;5; 
149;1;;6;0.25;0;1;1;0.5;2.75;3;1.25;1.25;0.5;6;14.75;4.5; 
347;1;;6;2;1;2;1;1;7;2;1.5;1;0.75;5.25;18.25;5.25; 
397;1;;5.5;2;1;1;0.75;1;5.75;2;0;1.5;0.75;4.25;15.5;4.75; 
457;1;;7;2;1;2;1;1;7;3;1.25;1.5;1;6.75;20.75;6; 
290;2;;6.5;2;1;2;0.75;1;6.75;2.5;1.5;1.25;0.75;6;19.25;5.5; 
#NV;2;Rep.;5.5;2;1;0.5;0.5;1;5;2;0;0.75;0.25;3;13.5;4.25; 
331;2;;5.5;2;1;1;0.75;1;5.75;2.5;0.75;1.5;0.75;5.5;16.75;5; 
#NV;2;;5.5;0.5;0.5;0.5;1;0.5;3;2;0.25;0.75;0.25;3.25;11.75;4; 
71;1;;5.5;2;1;1;1;1;6;2.5;1.25;0.75;0.75;5.25;16.75;5; 
145;2;;6.5;2;1;1;0.75;0.5;5.25;2;0.5;0.5;0.75;3.75;15.5;4.75; 
68;1;;6;2;1;2;0.75;1;6.75;1.5;1.5;0.75;0.5;4.25;17;5; 
497;1;;5.5;2;1;1.75;1;0.75;6.5;3;1.25;1.25;1;6.5;18.5;5.25; 
118;2;;4.5;2;1;2;1;1;7;2.5;1.25;1.25;0.75;5.75;17.25;5; 
#NV;;Rep.;;;;;;;;;;;;;;;
287;1;Rep.;6.5;2;1;2;1;1;7;2.5;1.25;1.5;0.75;6;19.5;5.5; 
#NV;2;;5.5;2;0;1.75;0.5;0.5;4.75;1.5;0;0;0;1.5;11.75;4; 
184;1;;5;0;0;0;0.25;0.5;0.75;1;0;1.25;0;2.25;8;3.25;ja
238;1;;7;2;1;2;1;1;7;2.5;1.25;1.5;1;6.25;20.25;5.75; 
306;1;;6;2;1;2;1;0.5;6.5;1;1.25;0.75;0.5;3.5;16;4.75; 
#NV;;Rep.;;;;;;;;;;;;;;;
58;1;;7;2;1;2;0.75;0.75;6.5;3;1.25;1.5;0.5;6.25;19.75;5.75; 
152;1;;5;0.25;0;0;0.75;0.5;1.5;1.5;1.5;0.5;0.75;4.25;10.75;3.75;ja
266;1;;6;0;0;0.75;0.25;0.25;1.25;2;0.25;0.75;0.25;3.25;10.5;3.75;ja
142;1;;5.5;2;1;2;1;1;7;3;1.5;1.25;0.75;6.5;19;5.5; 
326;1;;7;2;1;1.75;0.75;1;6.5;2;1.25;1.5;0.5;5.25;18.75;5.5; 
463;1;;5;2;1;2;1;0.75;6.75;2.5;1.25;1.25;0.5;5.5;17.25;5; 
454;1;;7;2;1;0.5;0.75;0.5;4.75;3;1.25;1.5;1;6.75;18.5;5.25; 
373;1;;7;2;1;2;0.75;1;6.75;3;1.5;1.25;0.75;6.5;20.25;5.75; 
297;1;;6;2;1;2;1;0.75;6.75;2.5;1.25;1.5;0.75;6;18.75;5.5; 
#NV;1;Rep.;4.5;0.25;0;0.5;0.5;0;1.25;1.5;1.5;1.5;0.5;5;10.75;3.75;ja
160;;;;;;;;;;;;;;;;;
151;1;;4.5;2;1.75;0.75;0.75;0.5;5.75;2;1;1.25;0.75;5;15.25;4.75; 
86;1;;5.5;2;0;0.75;0.75;1;4.5;2.5;0.75;0.75;0.75;4.75;14.75;4.5; 
317;2;;7;2;1;2;1;1;7;3;1.5;1.5;0.75;6.75;20.75;6; 
411;2;;6;2;1;2;1;0.5;6.5;2.5;1.5;1.5;0.75;6.25;18.75;5.5; 
370;2;;6;2;0;1;1;0.5;4.5;1.5;1.25;1.25;0.25;4.25;14.75;4.5; 
232;1;;5.5;2;1;2;0.75;1;6.75;3;1.25;0.75;0.5;5.5;17.75;5.25; 
35;1;;5.5;0.5;0.5;2;1;1;5;2.5;1.25;1.25;0.75;5.75;16.25;4.75; 
329;2;Rep.;4;2;1;0.5;1;0.5;5;2;0;0;0.5;2.5;11.5;4; 
#NV;2;Rep.;6;2;1;0.25;1;1;5.25;1.5;1;1.25;0.5;4.25;15.5;4.75; 
#NV;1;;7;2;1;1.5;1;1;6.5;2.5;1.25;1.5;0.75;6;19.5;5.5; 
343;2;;6.5;2;1;2;0.75;1;6.75;3;1.5;1.5;0.75;6.75;20;5.75; 
18;2;;5;2;1;0.25;1;0.5;4.75;2.5;1.25;0;0;3.75;13.5;4.25; 
#NV;1;;5.5;2;0;2;0.75;0.5;5.25;3;0.5;1;0;4.5;15.25;4.75; 
31;2;;5.5;0.25;0.5;0.25;0.75;1;2.75;1.5;1.5;1.25;0.75;5;13.25;4.25; 
318;1;;6;2;1;2;0.75;1;6.75;3;1.25;1.25;0.75;6.25;19;5.5; 
314;2;;6.5;2;1;1.5;0.75;1;6.25;3;1.25;1.5;0.75;6.5;19.25;5.5; 
53;2;;6.5;2;1;1;0.75;1;5.75;3;1.25;1.5;0.75;6.5;18.75;5.5; 
231;1;;6.5;1.75;0.75;0.75;1;1;5.25;2.5;1.25;0.75;0.5;5;16.75;5; 
403;2;;5;0.5;0.5;0.5;0.75;1;3.25;1.5;0.75;1;0.25;3.5;11.75;4; 
341;1;;5.5;2;1;1.5;1;1;6.5;2.5;1;1.5;0.5;5.5;17.5;5; 
382;2;;5;2;1;1.5;0.5;1;6;2.5;1.25;1.5;0.75;6;17;5; 
321;1;;7;2;1;2;1;1;7;2;1;1.25;0.5;4.75;18.75;5.5; 
324;1;;5.5;0.25;0;1;0;1;2.25;3;1.25;0.75;0;5;12.75;4.25; 
11;2;;4;0;0;0;0.5;0.5;1;2.5;1.25;1;0.75;5.5;10.5;3.75;ja
337;1;;6;2;1;2;0.75;1;6.75;2.5;1;1.5;1;6;18.75;5.5; 
199;1;;5.5;0;0;1;1;0.5;2.5;2.5;1;1.25;0;4.75;12.75;4.25; 
